City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Esperance,AU,-33.8667,121.9,55.4,71,90,6.91,overcast clouds
79,Yarmouth,US,41.7057,-70.2286,43.0,56,1,5.75,clear sky
80,Eenhana,NA,-17.4667,16.3333,78.8,36,5,2.15,clear sky
81,Tiksi,RU,71.6872,128.8694,-6.34,91,100,6.15,overcast clouds
82,San Carlos De Bariloche,AR,-41.1456,-71.3082,62.01,50,75,20.71,light rain
83,Kodiak,US,57.79,-152.4072,32.0,86,1,3.44,clear sky
84,Severo-Kurilsk,RU,50.6789,156.125,26.74,92,100,10.96,overcast clouds
85,Cehegin,ES,38.0924,-1.7985,39.0,62,72,4.0,broken clouds
86,Meulaboh,ID,4.1363,96.1285,77.09,81,98,6.26,overcast clouds
87,Cayenne,GF,4.9333,-52.3333,80.6,89,75,8.05,broken clouds
88,Yumen,CN,40.2833,97.2,8.47,76,74,9.24,broken clouds
89,Thompson,CA,55.7435,-97.8558,5.0,78,75,4.61,broken clouds
90,Kidal,ML,18.4411,1.4078,70.25,20,57,13.04,broken clouds
91,Sao Filipe,CV,14.8961,-24.4956,73.35,65,89,16.33,overcast clouds
92,Huarmey,PE,-10.0681,-78.1522,74.37,72,78,8.08,broken clouds
93,Mahebourg,MU,-20.4081,57.7,78.8,94,75,8.05,broken clouds
94,Arraial Do Cabo,BR,-22.9661,-42.0278,82.4,78,0,18.41,clear sky
95,Luoyang,CN,34.6836,112.4536,37.0,99,73,6.71,broken clouds
96,Belaya Gora,RU,68.5333,146.4167,-18.81,88,100,6.62,overcast clouds
97,Bar,UA,49.0772,27.6826,14.16,95,86,7.0,overcast clouds
98,Pacifica,US,37.6138,-122.4869,66.2,67,75,4.61,broken clouds
99,Terney,RU,45.0503,136.6092,15.01,91,100,9.82,overcast clouds
100,Baraki Barak,AF,33.9675,68.9486,33.37,63,0,2.62,clear sky
101,Kalakamati,BW,-20.5929,27.3121,69.78,89,100,6.33,moderate rain
102,Saskylakh,RU,71.9167,114.0833,-23.24,85,100,12.39,overcast clouds
103,Kungurtug,RU,50.5994,97.5228,-19.17,80,44,1.57,scattered clouds
104,Butaritari,KI,3.0707,172.7902,81.12,79,79,23.22,light rain
105,Kontagora,NG,10.3999,5.4695,75.02,18,0,4.79,clear sky
106,Saint-Philippe,RE,-21.3585,55.7679,78.8,89,75,4.61,broken clouds
107,Lorengau,PG,-2.0226,147.2712,82.72,78,84,8.05,broken clouds
108,Termiz,UZ,37.2242,67.2783,39.2,70,0,4.61,clear sky
109,Teluknaga,ID,-6.0989,106.6381,77.0,83,40,4.61,mist
110,Chokurdakh,RU,70.6333,147.9167,-5.33,91,100,10.16,overcast clouds
111,Lebu,CL,-37.6167,-73.65,60.53,67,0,16.42,clear sky
112,Dingle,PH,10.9995,122.6711,74.3,93,23,6.67,heavy intensity rain
113,Georgetown,MY,5.4112,100.3354,78.01,88,20,5.75,few clouds
114,Kokoda,PG,-8.8785,147.7407,76.5,68,100,1.16,overcast clouds
115,Muros,ES,42.7762,-9.0603,41.0,93,23,1.99,few clouds
116,Bahia Blanca,AR,-38.7196,-62.2724,91.8,13,0,15.48,clear sky
117,Katherine,AU,-14.4667,132.2667,77.0,94,100,3.44,overcast clouds
118,Goderich,CA,43.7501,-81.7165,37.4,81,100,16.11,overcast clouds
119,Hervey Bay,AU,-25.2986,152.8535,79.0,77,25,1.01,scattered clouds
120,Yar-Sale,RU,66.8333,70.8333,-3.78,92,100,7.49,overcast clouds
121,Huangcun,CN,30.0145,118.4037,37.51,81,100,6.33,overcast clouds
122,Pevek,RU,69.7008,170.3133,-8.55,87,100,1.21,overcast clouds
123,Bongandanga,CD,1.5,21.05,77.99,59,25,3.22,scattered clouds
124,Rawson,AR,-43.3002,-65.1023,64.9,68,56,21.99,light rain
125,Nikolskoye,RU,59.7035,30.7861,8.6,85,75,4.47,snow
126,Margate,GB,51.3813,1.3862,36.0,81,87,2.64,overcast clouds
127,Tasiilaq,GL,65.6145,-37.6368,32.0,93,90,16.11,snow
128,Harper,LR,4.375,-7.7169,78.1,84,45,6.62,light rain
129,Najran,SA,17.4924,44.1277,59.0,36,0,1.01,clear sky
130,Saint Anthony,US,45.0205,-93.218,36.0,87,90,11.5,light snow
131,Gigmoto,PH,13.7796,124.39,78.15,86,100,14.7,light rain
132,Port Hardy,CA,50.6996,-127.4199,48.2,87,75,8.05,light rain
133,Leningradskiy,RU,69.3833,178.4167,-9.89,89,100,7.94,overcast clouds
134,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,86,90,3.44,overcast clouds
135,Uchiza,PE,-8.4592,-76.4633,74.03,85,99,1.61,light rain
136,Banda Aceh,ID,5.5577,95.3222,78.66,77,74,1.5,broken clouds
137,Sechura,PE,-5.5569,-80.8222,70.41,85,100,4.74,light rain
138,Katsuura,JP,35.1333,140.3,54.0,100,75,5.75,mist
139,Cherskiy,RU,68.75,161.3,-25.8,86,94,2.91,overcast clouds
140,Boende,CD,-0.2167,20.8667,74.86,75,54,3.2,broken clouds
